station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
06C,2021-01-01 00:15,-88.1012,41.9893,243.48,16.90,14.70,90.88,0.00,0.00,0.00,30.31,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,K06C 010615Z AUTO 00000KT M08/M10 A3031 RMK AO2 T10841096
06C,2021-01-01 00:35,-88.1012,41.9893,243.48,17.80,15.60,90.92,0.00,0.00,0.00,30.30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,K06C 010635Z AUTO 00000KT M08/M09 A3030 RMK AO2 T10791091
06C,2021-01-01 00:55,-88.1012,41.9893,243.48,19.00,16.70,90.57,0.00,0.00,0.00,30.28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,K06C 010655Z AUTO 00000KT M07/M08 A3028 RMK AO2 T10721085
06C,2021-01-01 01:15,-88.1012,41.9893,243.48,19.00,16.70,90.57,0.00,0.00,0.00,30.28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,K06C 010715Z AUTO 00000KT M07/M08 A3028 RMK AO2 T10721085
06C,2021-01-01 01:35,-88.1012,41.9893,243.48,19.20,16.70,89.80,0.00,0.00,0.00,30.27,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,K06C 010735Z AUTO 00000KT M07/M08 A3027 RMK AO2 T10711085
06C,2021-01-01 01:55,-88.1012,41.9893,243.48,19.40,17.20,90.98,0.00,0.00,0.00,30.28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,K06C 010755Z AUTO 00000KT M07/M08 A3028 RMK AO2 T10701082
06C,2021-01-01 02:15,-88.1012,41.9893,243.48,19.20,16.70,89.80,0.00,0.00,0.00,30.28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,K06C 010815Z AUTO 00000KT M07/M08 A3028 RMK AO2 T10711085
06C,2021-01-01 02:35,-88.1012,41.9893,243.48,19.00,16.70,90.57,0.00,0.00,0.00,30.27,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,K06C 010835Z AUTO 00000KT M07/M08 A3027 RMK AO2 T10721085
06C,2021-01-01 02:55,-88.1012,41.9893,243.48,19.60,17.40,90.99,50.00,3.00,0.00,30.26,null,5.00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,14.51,K06C 010855Z AUTO 05003KT 5SM M07/M08 A3026 RMK AO2 T10691081
06C,2021-01-01 03:15,-88.1012,41.9893,243.48,22.30,19.90,90.33,80.00,3.00,0.00,30.26,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17.60,K06C 010915Z AUTO 08003KT M05/M07 A3026 RMK AO2 T10541067
